X,Y,OBJECTID_1,UniqueID,ProjectName,AwardDateYearFunded,City,SiteAddress,County,ParcelTaxID,Latitude,Longitude,FundingSource,TotalBrownfieldIncentives,F381ApprovedAmount,GrantAwardAmount,LoanAwardAmount,WaterfrontAwardAmount,BrownfieldSiteAssessment,StateFundedCleanupAmountSpent,Acreage,DevelopmentType
-85.6820079999999,42.9725680000001,1,2200907018,"1 to 3.org, LLC",2009/07/30 00:00:00+00,Grand Rapids,"502 Second Street, NW",Kent,41-13-24-378-001,42.972568,-85.682008,381,29670,"$29,670 ",,,0,,0,0.23,Transitional City Center
-85.669876,42.9634820000001,2,220190310,10 Ionia Avenue NW 381 WP,2018/11/30 00:00:00+00,Grand Rapids, 10 Ionia Avenue NW ,Kent,41-13-25-293-004,42.963482,-85.669876,381,54845,"$54,845 ",,,,,,0.229,Commercial
-82.420759,42.974632,3,2199607014,100 Blk Clyde St,1996/07/16 00:00:00+00,Port Huron,212 Quay Street,SAINT CLAIR,<null> ,42.974632,-82.420759,SAF,50000,,"$50,000 ",,0,,0,1,Commercial/Residential
-84.4847139999999,42.7359530000001,4,2201707837,"100-140 West Grand River Ave, 303 Abbot Road, 314, 328, 334, 340, 341, Evergreen Ave, Albert Ave Lot 4 and Evergreen Ave Lot 8",2017/07/26 00:00:00+00,East Lansing,"100-140 West Grand River Ave, 303 Abbot Road, 314, 328, 334, 340, 341, Evergreen Ave, Albert Ave Lot 4 and Evergreen Ave Lot 8",Ingham,33-20-01-13-230-004,42.735953,-84.484714,381,114425,"$114,425.00 ",,,,,,3,
-85.618556,44.764309,5,2200909022,101 N. Park Street (former Bridgestone/Firestone),2009/09/22 00:00:00+00,Traverse City,101 N. Park Street (former 247 & 251 E. Front Street),Grand Traverse,28-51-69801210,44.764309,-85.618556,381,122274,"$122,274 ",,,0,,0,0.32,Commercial C-4b
-83.599485,42.5896980000001,6,2200307012,115 East Liberty Street (Fifth Third Bank),2003/07/10 00:00:00+00,Milford,115 East Liberty Street,Oakland,"16-11-151-015, 16-11-151-018",42.589698,-83.599485,381,10350,"$10,350 ",,,0,,0,0.5,B-2 Community Business District
-83.059515,42.328721,7,2200702002,1200 Sixth Street Redevelopment Project,2007/02/15 00:00:00+00,Detroit,1200 Sixth Street,Wayne,"06-004554-62, 06-000084-7, 06-000116-37, 06-000139-59, 06-0001729-220",42.328721,-83.059515,381,37663,"$37,663 ",,,0,,0,9.4,"Major Business District (B5), General Industrial District (M3), General Services District (B6)"
-86.2468499999999,43.235734,8,220190324,122 Muskegon Avenue,2019/04/13 00:00:00+00,Muskegon,122 Muskegon Avenue,Muskegon,61-24-205-331-0001-00,43.235734,-86.24685,BRG,50000,,"$50,000 ",,,,,0.97,Mixed
-84.549815,42.7494160000001,9,2199607015,"1310 Turner Street, Lansing",1996/07/16 00:00:00+00,Lansing,1311-1361 Turner St,INGHAM,<null> ,42.749416,-84.549815,SAF,20050,,"$20,050 ",,0,,0,2.6,Residential
-83.2361109999999,42.400833,10,2201405016,15303 Plainview Ave.,2014/05/29 00:00:00+00,Detroit,15303 Plainview Ave.,Wayne,<null> ,42.400833,-83.236111,<null> ,0,,,,0,Yes,0,0.23,Comm. Education/Rec.
-84.4071989999999,42.263535,11,2199410004,"155 Hobart, Jackson",1994/10/18 00:00:00+00,Jackson,155 Hobart St,JACKSON,<null> ,42.263535,-84.407199,SAF,57750,,"$57,750 ",,0,,0,3,Industrial
-86.221493,43.045643,12,2201405011,1701 South Beacon Boulevard LLC,2014/05/16 00:00:00+00,Grand Haven,1701 S. Beacon Blvd,Ottawa,70-03-28-353-004,43.045643,-86.221493,381,40913,"$40,913 ",,,0,,0,4.06,commercial
-83.132085,42.454305,13,2200201001,181 and 227 West Marshall Avenue (Excelda Manufacturing),2002/01/22 00:00:00+00,Ferndale,181 and 227 West Marshall Avenue,Oakland,"24-25-34-252-004, 24-25-34-252-005, 24-25-34-252-009",42.454305,-83.132085,381,418232,"$418,232 ",,,0,,0,0,Commercial/Special Use
-84.231815,43.41421,14,2199912053,200 Block of W. Saginaw Street,1999/12/29 00:00:00+00,Hemlock,261 W. Saginaw Street,Saginaw,<null> ,43.41421,-84.231815,381,27470,"$27,470 ",,,0,,0,0,Commercial
-83.6775,43.003611,15,2200709025,2001 S. Saginaw - Flint,2007/09/14 00:00:00+00,Flint,2001 S. Saginaw,Genesee,<null> ,43.003611,-83.6775,<null> ,0,,,,0,Yes,0,1,Commercial
-85.556711,43.1234660000001,16,2201611024,202 North Monroe,2016/11/03 00:00:00+00,Rockford,"184, 200, 202, 220 North Monroe Street NE, 185 Courtland Street",Kent,"41-06-36-403-042, -049, -041, -040",43.123466,-85.556711,381,412650,"$412,650 ",,,0,,0,7.3,
-83.393773,41.917158,17,2199904006,204 and 214 East Elm Avenue,1999/04/12 00:00:00+00,Monroe,204 and 214 East Elm Avenue,Monroe,<null> ,41.917158,-83.393773,381,65250,"$65,250 ",,,0,,0,0,C-2 General Commercial District
-83.603644,42.2427960000001,18,2199607016,206 N. Grove,1996/07/16 00:00:00+00,Ypsilanti,206 N Grove St,WASHTENAW,<null> ,42.242796,-83.603644,SAF,30000,,"$30,000 ",,0,,0,0.75,Commercial
-83.2449999999999,42.6719440000001,19,2200805015,2060 N. Opdyke - Auburn Hills,2008/05/14 00:00:00+00,Auburn Hills,2060 N. Opdyke Rd.,Oakland,<null> ,42.671944,-83.245,<null> ,0,,,,0,Yes,0,2.3,Commercial
-84.557222,43.0030560000001,20,2201506015,207 Spring St.,2015/06/04 00:00:00+00,St. Johns,207 Spring St.,Clinton,<null> ,43.003056,-84.557222,<null> ,0,,,,0,Yes,0,0.61,Residential
-83.162114,42.454217,21,2199607017,21721 Wyoming,1996/07/16 00:00:00+00,Royal Oak,21721 Wyoming Ave,OAKLAND,<null> ,42.454217,-83.162114,SAF,28000,,"$28,000 ",,0,,0,0,Commercial
-84.3761469999999,42.2483720000001,22,2199410005,"219 Chapin; former Goodyear Plant, Jackson",1994/10/18 00:00:00+00,Jackson,2215 Chapin St,JACKSON,<null> ,42.248372,-84.376147,SAF,305000,,"$305,000 ",,0,,0,59,Industrial
-83.9146,43.4327200000001,23,2199610051,2300 Block Lapeer Avenue,1996/10/22 00:00:00+00,Saginaw,2300 Block Lapeer Ave,SAGINAW,<null> ,43.43272,-83.9146,SAF,20000,,"$20,000 ",,0,,0,0,No Development
-83.19109,42.5394400000001,24,2200511029,"2400 Lincoln, LLC Project",2005/11/03 00:00:00+00,Birmingham,2400 E. Lincoln Road,Oakland,"20-31-426-013, 20-31-402-001, 20-31-251-021, 20-31-426-002, 20-31-203-031",42.53944,-83.19109,381,300000,"$300,000 ",,,0,,0,0,Mixed use
-83.931764,43.399417,25,2199711030,2600-2624 Hess (Former Lamar Pipe),1997/11/18 00:00:00+00,Saginaw,2610 Hess Ave,SAGINAW,<null> ,43.399417,-83.931764,SAF,20000,,"$20,000 ",,0,,0,0,Industrial
-83.5295,42.4857400000001,26,220190308,26700 Wixom Road - 381 WP ,2018/10/12 00:00:00+00,Novi , 26700 Wixom Road ,Oakland,50-22-17-300-013,42.48574,-83.5295,381,934408,"$934,408 ",,,,,,25.98,Commercial
-83.95974,43.402275,27,2199612054,2701 S. Washington Street,1996/12/30 00:00:00+00,Saginaw,2701 S Washington St,SAGINAW,<null> ,43.402275,-83.95974,SAF,20000,,"$20,000 ",,0,,0,0,No Development
-83.161279,42.4929460000001,28,2201408029,27566 Woodward,2014/08/07 00:00:00+00,Royal Oak,27566 Woodward Avenue,Oakland,25-21-409-027,42.492946,-83.161279,381,62710,"$62,710 ",,,0,,0,0.28,Commercial
-84.729007,45.890023,29,2199410003,30 Alpine/Northshore Dev.,1994/10/14 00:00:00+00,Saint Ignace,N State St. and Alpine Ave,MACKINAC,<null> ,45.890023,-84.729007,SAF,22600,,"$22,600 ",,0,,0,0,Commercial/Residential
-84.7338369999999,45.8721580000001,30,2199410006,300 Marquette/WCRR,1994/10/18 00:00:00+00,Saint Ignace,275 Marquette,MACKINAC,<null> ,45.872158,-84.733837,"SAF,SRG",94850,,"$94,850 ",,0,,0,0,Park/Recreational/Commercial
-85.5844999999999,42.2897600000001,31,220190315,303 Rose Street 381 wp ,2019/03/06 00:00:00+00,Kalamazoo, 303 Rose Street ,Kalamazoo,"06-15-319-101, 06-15-319-006 & 06-15-314-001",42.28976,-85.5845,381,59650,"$59,650 ",,,,,,0.79,Mixed Use 
-84.566788,42.700613,32,2199607018,"3125 MLK Blvd. -  Drake’s Refinery Station, Lansing",1996/07/16 00:00:00+00,Lansing,3125 S. Martin Luther King Jr Blvd,INGHAM,<null> ,42.700613,-84.566788,SAF,20850,,"$20,850 ",,0,,0,2.4,No Development
-83.960073,43.4186240000001,33,2200204006,314 N. Hamilton,2002/04/17 00:00:00+00,Saginaw,314 N. Hamilton,SAGINAW,<null> ,43.418624,-83.960073,SAF,12650,,"$12,650 ",,0,,0,0,No Development
-86.320776,44.2485390000001,34,2201103001,"334 River Street, Manistee",2011/03/16 00:00:00+00,Manistee,334 River Street,MANISTEE,51-51-452-703-17,44.248539,-86.320776,"BRG, 381",289823,"$144,600 ","$289,823 ",,0,,0,3,Commercial/Residential
-83.37103,42.2816100000001,35,2201805004,33577 Michigan Avenue,2018/05/22 00:00:00+00,Wayne,33577 Michigan Avenue,Wayne,,42.28161,-83.37103,381,135720,"$135,720 ",,,,,,2.27,Self Serve Storage
-83.100556,42.345,36,2200508022,3445 W. Warren Ave.,2005/08/18 00:00:00+00,Detroit,3445 W. Warren Ave.,Wayne,<null> ,42.345,-83.100556,<null> ,0,,,,0,Yes,0,0.3,Res./Comm.
-83.2187959999999,42.5535820000001,37,2201701841,"34965 Woodward, Birmingham",2017/01/31 00:00:00+00,Birmingham,34965 Woodward Avenue,Oakland,19-25-179-001,42.553582,-83.218796,381,701338,"$701,338.00 ",,,,,,0.538,
-83.211788,42.546457,38,2200904008,34977 Woodward Avenue (Catalyst Development),2009/04/07 00:00:00+00,Birmingham,34977 Woodward Avenue,Oakland,19-36-207-001,42.546457,-83.211788,381,1128393,"$1,128,393 ",,,0,,0,0.3,B4-Business/Residential w/ D-4 overlay district
-83.2187959999999,42.5535820000001,39,2201711827,35975 Woodward Ave,2017/11/28 00:00:00+00,Birmingham,35975 Woodward Ave,Oakland,19-25-179-001,42.553582,-83.218796,381,210420,"$210,420.00 ",,,,,,0.538,
-85.574946,42.28916,40,2201707836,381 and 383 South Pitcher Street,2017/07/11 00:00:00+00,Kalamazoo,381 and 383 South Pitcher Street,Kalamazoo,06-15-469-001,42.28916,-85.574946,381,117571,"$117,571.00 ",,,,,,1.82,
-83.112468,42.405384,41,2199410007,385 Midland,1994/10/18 00:00:00+00,Highland Park,385 Midland,WAYNE,<null> ,42.405384,-83.112468,SAF,12000,,"$12,000 ",,0,,0,1.45,Commercial
-83.913662,45.486143,42,2200103007,40 Mile Point Lighthouse,2001/03/23 00:00:00+00,Rogers City,Coounty Park Rd,PRESQUE ISLE,<null> ,45.486143,-83.913662,WRG,112542,,,,112542,,0,0,Not Required
-83.965041,43.414365,43,2199910044,400 S. Niagara,1999/10/20 00:00:00+00,Saginaw,400 S. Niagara,SAGINAW,<null> ,43.414365,-83.965041,SAF,14200,,"$14,200 ",,0,,0,0,No Development
-83.963969,43.416998,44,2199702003,401 Court Street,1997/02/11 00:00:00+00,Saginaw,401 Court St,SAGINAW,<null> ,43.416998,-83.963969,SAF,12700,,"$12,700 ",,0,,0,0,No Development
-83.1293939999999,42.4609540000001,45,2201707829,409 on 9 Apartments,2017/07/07 00:00:00+00,Ferndale,409 9 Mile Rd,Oakland,,42.460954,-83.129394,381,220510,"$220,510.00 ",,,,,,,
-84.8882389999999,41.946802,46,2200212036,42 Cole Street (Acorn Building Products),2002/12/20 00:00:00+00,Quincy,42 Cole Street,Branch,081-N01-000-164-00,41.946802,-84.888239,381,33500,"$33,500 ",,,0,,0,10,Industrial
-84.6311889999999,42.9240130000001,47,2201311023,42 Union Street,2013/11/05 00:00:00+00,Hillsdale,42 Union St.,Hillsdale,<null> ,42.924013,-84.631189,<null> ,0,,,,0,Yes,0,1.26,Residential
-83.871597,43.6175450000001,48,2199410008,421 Marquette St./Marquette Industrial Park,1994/10/18 00:00:00+00,Bay City,421 Marquette Dr,BAY,<null> ,43.617545,-83.871597,SAF,120000,,"$120,000 ",,0,,0,0,Industrial
-85.6809279999999,42.970807,49,2201805002,449 Bridge Street,2018/05/25 00:00:00+00,Grand Rapids,449 Bridge Street,Kent,41-13-24-383-016,42.970807,-85.680928,"CEI, 381",536028,"206,028","$330,000 ",,,,,0.318,Mixed Use
-83.525638,42.3905750000001,50,2201102020,5 Mile and Ridge Road Sanitary Sewer Project,2011/02/04 00:00:00+00,Plymouth Township,47500 Five Mile Road,Wayne,"R-78-006-99-0001-001, R-78-006-99-0001-002",42.390575,-83.525638,381,222855,"$222,855 ",,,0,,0,0,<null> 
-88.089729,45.8018650000001,51,2199410009,500 Balsam Kingsford,1994/10/18 00:00:00+00,Kingsford,1250 Carter Drive,DICKINSON,<null> ,45.801865,-88.089729,SAF,157980,,"$157,980 ",,0,,0,0,Industrial
-84.490965,42.73456,52,2201205014,514 Michigan Avenue,2012/05/31 00:00:00+00,East Lansing,514 Michigan Avenue,Ingham,33-20-01-13-237-023,42.73456,-84.490965,381,245000,"$245,000 ",,,0,,0,0.33,"Mixed Use, 2-4 Stories"
-82.9769439999999,42.390833,53,2201405015,5250 Conner Street,2014/05/29 00:00:00+00,Detroit,5250 Conner St.,Wayne,<null> ,42.390833,-82.976944,<null> ,0,,,,0,Yes,0,18.5,Comm. Education/Rec.
